tour,selection_step,candidate,model,window,matches,brier_score,log_loss,accuracy
ATP,overall,k24-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.19818239433496357,0.5796371757733706,0.689349788595589
ATP,overall,k24-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.2149057579630378,0.6175056478264522,0.6533141605039715
ATP,overall,k24-rank-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.1981648095378168,0.5795799444426589,0.6896354702319735
ATP,overall,k24-rank-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.2150291299040564,0.6178437800650476,0.6530402629416598
ATP,overall,k24-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.19672693009564785,0.5757497743829795,0.691806650668495
ATP,overall,k24-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.21505875409168765,0.6180976368687295,0.655573815393043
ATP,overall,k24-rank-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19671678925754332,0.5757196782423498,0.6920923323048794
ATP,overall,k24-rank-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.21519844657103682,0.6185519000414085,0.6561900849082443
ATP,overall,k32-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.19567432919002964,0.5739612020313609,0.6958633299051536
ATP,overall,k32-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.2137355612773044,0.6156769183714123,0.6587921117502055
ATP,overall,k32-fixed-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19564812198667866,0.5739449099790089,0.6958061935778768
ATP,overall,k32-fixed-half0-w0.5-bof,overall_elo,1983-1987,14604,0.2136995865753935,0.6156288322672362,0.6585866885784717
ATP,overall,k32-fixed-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.19697105376646537,0.5764422759620565,0.6914066963775568
ATP,overall,k32-fixed-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.2125589291318083,0.6117087414266318,0.6548205970966858
ATP,overall,k32-fixed-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.19698489258702653,0.5764802285037594,0.6907781967775112
