tour,slam,year,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
WTA,Roland Garros,2007,127,0,0.0,4,3.1496062992125986,8,6.299212598425197,28,22.04724409448819,0
WTA,Roland Garros,2008,127,1,0.7874015748031497,5,3.937007874015748,13,10.236220472440944,31,24.409448818897637,0
WTA,Roland Garros,2009,127,1,0.7874015748031497,9,7.086614173228346,12,9.448818897637794,20,15.748031496062993,0
WTA,Roland Garros,2010,127,1,0.7874015748031497,4,3.1496062992125986,6,4.724409448818897,16,12.598425196850394,0
WTA,Roland Garros,2011,127,0,0.0,6,4.724409448818897,10,7.874015748031496,18,14.173228346456693,0
WTA,Roland Garros,2012,127,2,1.5748031496062993,8,6.299212598425197,13,10.236220472440944,17,13.385826771653543,0
WTA,Roland Garros,2013,127,0,0.0,7,5.511811023622047,8,6.299212598425197,19,14.960629921259843,0
WTA,Roland Garros,2014,127,2,1.5748031496062993,3,2.3622047244094486,9,7.086614173228346,16,12.598425196850394,0
WTA,Roland Garros,2015,127,1,0.7874015748031497,9,7.086614173228346,13,10.236220472440944,17,13.385826771653543,0
WTA,Roland Garros,2016,127,2,1.5748031496062993,3,2.3622047244094486,7,5.511811023622047,16,12.598425196850394,0
WTA,Roland Garros,2017,127,0,0.0,7,5.511811023622047,8,6.299212598425197,17,13.385826771653543,0
WTA,Roland Garros,2018,127,1,0.7874015748031497,6,4.724409448818897,11,8.661417322834646,20,15.748031496062993,0
WTA,Roland Garros,2019,127,5,3.937007874015748,11,8.661417322834646,15,11.811023622047244,26,20.47244094488189,0
WTA,Roland Garros,2020,127,1,0.7874015748031497,6,4.724409448818897,10,7.874015748031496,23,18.11023622047244,0
WTA,Roland Garros,2021,127,1,0.7874015748031497,2,1.5748031496062993,7,5.511811023622047,14,11.023622047244094,0
WTA,Roland Garros,2022,127,4,3.1496062992125986,10,7.874015748031496,16,12.598425196850394,26,20.47244094488189,0
WTA,Roland Garros,2023,127,0,0.0,4,3.1496062992125986,14,11.023622047244094,27,21.25984251968504,0
WTA,Roland Garros,2024,127,2,1.5748031496062993,4,3.1496062992125986,7,5.511811023622047,13,10.236220472440944,0
WTA,Roland Garros,2025,127,4,3.1496062992125986,13,10.236220472440944,20,15.748031496062993,26,20.47244094488189,0
WTA,US Open,1988,127,0,0.0,3,2.3622047244094486,8,6.299212598425197,15,11.811023622047244,0
WTA,US Open,1989,127,1,0.7874015748031497,2,1.5748031496062993,9,7.086614173228346,15,11.811023622047244,0
WTA,US Open,1990,127,3,2.3622047244094486,4,3.1496062992125986,4,3.1496062992125986,10,7.874015748031496,0
WTA,US Open,1991,127,0,0.0,7,5.511811023622047,11,8.661417322834646,17,13.385826771653543,0
WTA,US Open,1992,127,4,3.1496062992125986,8,6.299212598425197,13,10.236220472440944,26,20.47244094488189,0
WTA,US Open,1993,127,1,0.7874015748031497,1,0.7874015748031497,4,3.1496062992125986,17,13.385826771653543,0
WTA,US Open,1994,127,1,0.7874015748031497,2,1.5748031496062993,4,3.1496062992125986,11,8.661417322834646,0
WTA,US Open,1995,127,1,0.7874015748031497,2,1.5748031496062993,6,4.724409448818897,17,13.385826771653543,0
WTA,US Open,1996,127,3,2.3622047244094486,11,8.661417322834646,16,12.598425196850394,28,22.04724409448819,0
WTA,US Open,1997,127,2,1.5748031496062993,10,7.874015748031496,10,7.874015748031496,12,9.448818897637794,0
