model,tour,slam,probability_bin,matches,mean_probability,observed_win_rate
surface_adjusted_elo,ATP,Australian Open,3,576,0.3525020254657521,0.2638888888888889
surface_adjusted_elo,ATP,Australian Open,4,775,0.45257851893687767,0.44129032258064516
surface_adjusted_elo,ATP,Australian Open,5,725,0.5496273796704918,0.4979310344827586
surface_adjusted_elo,ATP,Australian Open,6,685,0.6493804253077373,0.6642335766423357
surface_adjusted_elo,ATP,Australian Open,7,572,0.7492069036543182,0.7709790209790209
surface_adjusted_elo,ATP,Australian Open,8,421,0.8451726899150465,0.9168646080760094
surface_adjusted_elo,ATP,Australian Open,9,143,0.9323421181045277,0.9790209790209791
surface_adjusted_elo,ATP,Roland Garros,0,88,0.07039466751184924,0.011363636363636364
surface_adjusted_elo,ATP,Roland Garros,1,342,0.15719613561814952,0.06725146198830409
surface_adjusted_elo,ATP,Roland Garros,2,508,0.25075794502117665,0.20866141732283464
surface_adjusted_elo,ATP,Roland Garros,3,637,0.349730098952123,0.2621664050235479
surface_adjusted_elo,ATP,Roland Garros,4,722,0.44953651339301265,0.39335180055401664
surface_adjusted_elo,ATP,Roland Garros,5,784,0.549302045904969,0.5051020408163265
surface_adjusted_elo,ATP,Roland Garros,6,690,0.6491493119311665,0.6289855072463768
surface_adjusted_elo,ATP,Roland Garros,7,566,0.749320473883352,0.7932862190812721
surface_adjusted_elo,ATP,Roland Garros,8,367,0.8457778906190022,0.888283378746594
surface_adjusted_elo,ATP,Roland Garros,9,108,0.9287941319095452,0.9722222222222222
surface_adjusted_elo,ATP,US Open,0,114,0.07178946598133247,0.017543859649122806
surface_adjusted_elo,ATP,US Open,1,323,0.1569266035000908,0.0804953560371517
surface_adjusted_elo,ATP,US Open,2,496,0.2521597680977906,0.18951612903225806
surface_adjusted_elo,ATP,US Open,3,604,0.3520435480168285,0.2847682119205298
surface_adjusted_elo,ATP,US Open,4,731,0.45265994543343874,0.4062927496580027
surface_adjusted_elo,ATP,US Open,5,796,0.5481025151604394,0.542713567839196
surface_adjusted_elo,ATP,US Open,6,665,0.6484999248746485,0.6586466165413534
surface_adjusted_elo,ATP,US Open,7,556,0.7495849944301733,0.7877697841726619
surface_adjusted_elo,ATP,US Open,8,406,0.8458147727149362,0.9088669950738916
surface_adjusted_elo,ATP,US Open,9,120,0.9298616324760964,0.975
surface_adjusted_elo,ATP,Wimbledon,0,52,0.07298478496195064,0.057692307692307696
surface_adjusted_elo,ATP,Wimbledon,1,271,0.1521468418507587,0.07011070110701106
surface_adjusted_elo,ATP,Wimbledon,2,479,0.25334716333523694,0.15866388308977036
surface_adjusted_elo,ATP,Wimbledon,3,620,0.35042122091024447,0.317741935483871
surface_adjusted_elo,ATP,Wimbledon,4,761,0.4508275330678176,0.4178712220762155
surface_adjusted_elo,ATP,Wimbledon,5,851,0.5481857834742342,0.5405405405405406
surface_adjusted_elo,ATP,Wimbledon,6,684,0.6487931357594888,0.7046783625730995
surface_adjusted_elo,ATP,Wimbledon,7,585,0.7466850247344341,0.7743589743589744
surface_adjusted_elo,ATP,Wimbledon,8,295,0.8413754587514658,0.9084745762711864
surface_adjusted_elo,ATP,Wimbledon,9,87,0.9232120341244936,0.9540229885057471
surface_adjusted_elo,WTA,Australian Open,0,208,0.059579637133989866,0.0625
surface_adjusted_elo,WTA,Australian Open,1,296,0.15063618477633584,0.17905405405405406
surface_adjusted_elo,WTA,Australian Open,2,358,0.24785110449465297,0.2988826815642458
surface_adjusted_elo,WTA,Australian Open,3,419,0.3486119471932539,0.38663484486873506
surface_adjusted_elo,WTA,Australian Open,4,539,0.45146672423481315,0.44341372912801486
surface_adjusted_elo,WTA,Australian Open,5,582,0.5504507924356608,0.5670103092783505
surface_adjusted_elo,WTA,Australian Open,6,614,0.6507630454228774,0.6596091205211726
surface_adjusted_elo,WTA,Australian Open,7,588,0.7501303532408644,0.7397959183673469
surface_adjusted_elo,WTA,Australian Open,8,688,0.8488378084108065,0.8197674418604651
surface_adjusted_elo,WTA,Australian Open,9,530,0.942949401081726,0.9471698113207547
surface_adjusted_elo,WTA,Roland Garros,0,188,0.05939275716651881,0.09574468085106383
surface_adjusted_elo,WTA,Roland Garros,1,317,0.15281475700590927,0.14511041009463724
surface_adjusted_elo,WTA,Roland Garros,2,374,0.24942062192416595,0.20320855614973263
surface_adjusted_elo,WTA,Roland Garros,3,444,0.35450333248745636,0.3400900900900901
surface_adjusted_elo,WTA,Roland Garros,4,491,0.4529911461538156,0.45621181262729127
surface_adjusted_elo,WTA,Roland Garros,5,664,0.5514937848211884,0.5195783132530121
surface_adjusted_elo,WTA,Roland Garros,6,626,0.6505111089759987,0.6070287539936102
surface_adjusted_elo,WTA,Roland Garros,7,656,0.7491311697211236,0.7164634146341463
surface_adjusted_elo,WTA,Roland Garros,8,631,0.8499123946751859,0.8256735340729001
surface_adjusted_elo,WTA,Roland Garros,9,423,0.9432334008726916,0.9479905437352246
surface_adjusted_elo,WTA,US Open,0,200,0.05803992462958725,0.02
surface_adjusted_elo,WTA,US Open,1,318,0.15181969185212993,0.11320754716981132
surface_adjusted_elo,WTA,US Open,2,375,0.2504860003236953,0.256
surface_adjusted_elo,WTA,US Open,3,435,0.3520676842313249,0.34942528735632183
surface_adjusted_elo,WTA,US Open,4,514,0.45224092673192695,0.4396887159533074
surface_adjusted_elo,WTA,US Open,5,548,0.5515991114653029,0.5492700729927007
surface_adjusted_elo,WTA,US Open,6,633,0.6485022994298768,0.6682464454976303
surface_adjusted_elo,WTA,US Open,7,611,0.7477816707741743,0.7332242225859247
surface_adjusted_elo,WTA,US Open,8,664,0.8505469163125434,0.8358433734939759
surface_adjusted_elo,WTA,US Open,9,512,0.9437233890360774,0.943359375
surface_adjusted_elo,WTA,Wimbledon,0,136,0.0644854601567219,0.029411764705882353
