model,tour,dimension,value,matches,brier_score,log_loss,accuracy
surface_elo,ATP,experience,1-4,6307,0.223906807981,0.637767946182,0.631361978754
surface_elo,ATP,experience,20+,70908,0.219159932337,0.627430355494,0.642000902578
surface_elo,ATP,experience,5-19,12744,0.222118990523,0.633882537507,0.634023854363
surface_elo,ATP,experience,<1,3741,0.229548164265,0.64936939645,0.653033948142
surface_elo,ATP,match_format,3,87226,0.220409187641,0.630188506008,0.639671657533
surface_elo,ATP,match_format,5,6474,0.218780509208,0.625718478376,0.653691689836
surface_elo,ATP,overall,all,93700,0.220296657607,0.629879659061,0.640640341515
surface_elo,ATP,surface,Clay,35639,0.221813428699,0.633305206634,0.637728331322
surface_elo,ATP,surface,Grass,6971,0.230914465526,0.653370412244,0.610672787262
surface_elo,ATP,surface,Hard,51090,0.217789847196,0.62428488258,0.646760618516
surface_elo,WTA,era,1988-1999,22908,0.208016360497,0.60174270241,0.679020429544
surface_elo,WTA,era,2000-2009,22318,0.217002859065,0.62243431009,0.654987006004
surface_elo,WTA,era,2010-2019,22513,0.224600108302,0.640635463405,0.636698796251
surface_elo,WTA,era,2020-2025,11639,0.227151279393,0.645652242964,0.62728756766
surface_elo,WTA,experience,1-4,6984,0.218968854981,0.627406496408,0.67439862543
surface_elo,WTA,experience,20+,56022,0.215757254394,0.619925305518,0.651654707079
surface_elo,WTA,experience,5-19,12032,0.223367033072,0.637211385768,0.635388962766
surface_elo,WTA,experience,<1,4340,0.231465678151,0.653316491405,0.678801843318
surface_elo,WTA,match_format,3,79283,0.217999073976,0.624912668232,0.652813339556
surface_elo,WTA,match_format,5,95,0.262357808955,0.722445551959,0.536842105263
surface_elo,WTA,overall,all,79378,0.218052162739,0.625029396091,0.652674544584
surface_elo,WTA,surface,Clay,26476,0.22014999438,0.630180772511,0.650060432089
surface_elo,WTA,surface,Grass,5953,0.229944105955,0.651091715102,0.620023517554
surface_elo,WTA,surface,Hard,46949,0.215361265628,0.618819746744,0.658288781444
