model,tour,dimension,value,matches,brier_score,log_loss,accuracy
overall_elo,ATP,era,1988-1999,6083,0.198989198616,0.580263902096,0.687325332895
overall_elo,ATP,era,2000-2009,5072,0.18735683082,0.55308371817,0.710370662461
overall_elo,ATP,era,2010-2019,5061,0.174170770409,0.52192875367,0.737601264572
overall_elo,ATP,era,2020-2025,2906,0.186173660429,0.550366316437,0.711975223675
overall_elo,ATP,experience,1-4,838,0.173542958655,0.518504433746,0.718377088305
overall_elo,ATP,experience,20+,15696,0.187996025423,0.554668312829,0.710818042813
overall_elo,ATP,experience,5-19,2314,0.191872318392,0.562769676229,0.695764909248
overall_elo,ATP,experience,<1,274,0.156996015312,0.48540981189,0.79197080292
overall_elo,ATP,retirement,false,18453,0.185297439965,0.548375440011,0.715439223974
overall_elo,ATP,retirement,true,669,0.245037978579,0.682600715061,0.57399103139
overall_elo,ATP,round,F,151,0.195476059689,0.579135686911,0.721854304636
overall_elo,ATP,round,QF,600,0.181592762233,0.539534400405,0.728333333333
overall_elo,ATP,round,R128,9664,0.195886409309,0.572780798583,0.690293874172
overall_elo,ATP,round,R16,1201,0.175544580774,0.525985226797,0.742714404663
overall_elo,ATP,round,R32,2404,0.173874263764,0.521125621515,0.735024958403
overall_elo,ATP,round,R64,4802,0.180952841748,0.538114980349,0.726364014994
overall_elo,ATP,round,SF,300,0.179823159216,0.535952397599,0.74
overall_elo,ATP,slam,Australian Open,4814,0.181941118493,0.540150220035,0.715413377649
overall_elo,ATP,slam,Roland Garros,4812,0.189699984573,0.557931817856,0.707605985037
overall_elo,ATP,slam,US Open,4811,0.184972611307,0.547071715441,0.718977343588
overall_elo,ATP,slam,Wimbledon,4685,0.193088572927,0.567517349655,0.699679829242
overall_elo,WTA,era,1988-1999,6088,0.172711093785,0.515627813123,0.741458607096
overall_elo,WTA,era,2000-2009,5071,0.175232810413,0.521666840654,0.732005521593
overall_elo,WTA,era,2010-2019,5069,0.19408224577,0.570248417712,0.702308147564
overall_elo,WTA,era,2020-2025,2909,0.199674444206,0.583405146305,0.687521485046
overall_elo,WTA,experience,1-4,688,0.183731586575,0.541197985457,0.712209302326
overall_elo,WTA,experience,20+,16039,0.182700377427,0.541312611869,0.721990149012
overall_elo,WTA,experience,5-19,2165,0.189137847899,0.554469896461,0.704849884527
overall_elo,WTA,experience,<1,245,0.157161047954,0.478958994388,0.775510204082
overall_elo,WTA,retirement,false,18911,0.182340636573,0.540102832473,0.721643487917
overall_elo,WTA,retirement,true,226,0.249923912984,0.700640753663,0.615044247788
overall_elo,WTA,round,F,151,0.225082319555,0.655127065347,0.662251655629
overall_elo,WTA,round,QF,601,0.185611699971,0.547881098371,0.722129783694
overall_elo,WTA,round,R128,9664,0.191103586845,0.560362278639,0.700848509934
overall_elo,WTA,round,R16,1205,0.178383325962,0.534795235847,0.729460580913
overall_elo,WTA,round,R32,2407,0.172793772842,0.517149349126,0.74740340673
overall_elo,WTA,round,R64,4808,0.171336447211,0.513035868027,0.745840266223
overall_elo,WTA,round,SF,301,0.191725249696,0.574101300513,0.714285714286
overall_elo,WTA,slam,Australian Open,4822,0.183261746747,0.540413349306,0.719618415595
overall_elo,WTA,slam,Roland Garros,4814,0.187928211803,0.554404116007,0.709804736186
overall_elo,WTA,slam,US Open,4810,0.175949578251,0.523493155879,0.736174636175
overall_elo,WTA,slam,Wimbledon,4691,0.18546888867,0.549872694657,0.715838840333
surface_adjusted_elo,ATP,era,1988-1999,6083,0.196479102507,0.574924823573,0.693572250534
surface_adjusted_elo,ATP,era,2000-2009,5072,0.185028545806,0.54862434828,0.714116719243
surface_adjusted_elo,ATP,era,2010-2019,5061,0.17388997,0.521978570555,0.74056510571
surface_adjusted_elo,ATP,era,2020-2025,2906,0.185921826,0.550307513702,0.714039917412
surface_adjusted_elo,ATP,experience,1-4,838,0.174524419376,0.522146816759,0.723150357995
surface_adjusted_elo,ATP,experience,20+,15696,0.18610559142,0.550950175674,0.715787461774
surface_adjusted_elo,ATP,experience,5-19,2314,0.191304742779,0.561770963805,0.695332757131
surface_adjusted_elo,ATP,experience,<1,274,0.16039827827,0.494914513126,0.78102189781
surface_adjusted_elo,ATP,retirement,false,18453,0.183850966631,0.545746187726,0.71955779548
surface_adjusted_elo,ATP,retirement,true,669,0.241242514436,0.67288964808,0.576980568012
surface_adjusted_elo,ATP,round,F,151,0.194996257654,0.577658150983,0.701986754967
surface_adjusted_elo,ATP,round,QF,600,0.178877802535,0.534669050939,0.735
surface_adjusted_elo,ATP,round,R128,9664,0.194454267911,0.570050132895,0.694019039735
surface_adjusted_elo,ATP,round,R16,1201,0.174334064735,0.524111640271,0.741049125729
surface_adjusted_elo,ATP,round,R32,2404,0.171860439882,0.517038354879,0.743344425957
surface_adjusted_elo,ATP,round,R64,4802,0.17954521675,0.535552367683,0.730528946272
surface_adjusted_elo,ATP,round,SF,300,0.177707092768,0.532281754338,0.75
surface_adjusted_elo,ATP,slam,Australian Open,4814,0.181601485103,0.539788637838,0.716244287495
surface_adjusted_elo,ATP,slam,Roland Garros,4812,0.186738891238,0.551997319355,0.712177888612
surface_adjusted_elo,ATP,slam,US Open,4811,0.183833323171,0.54506867455,0.721887341509
surface_adjusted_elo,ATP,slam,Wimbledon,4685,0.191409587557,0.56429852297,0.707790821772
surface_adjusted_elo,WTA,era,1988-1999,6088,0.171392818639,0.51178599468,0.741458607096
surface_adjusted_elo,WTA,era,2000-2009,5071,0.174575732473,0.520169883873,0.735160717807
surface_adjusted_elo,WTA,era,2010-2019,5069,0.19276599729,0.566599914709,0.701519037285
surface_adjusted_elo,WTA,era,2020-2025,2909,0.19855876557,0.580425597801,0.690615331729
surface_adjusted_elo,WTA,experience,1-4,688,0.182228517156,0.536878609992,0.707848837209
surface_adjusted_elo,WTA,experience,20+,16039,0.181697840687,0.538642261137,0.723860589812
surface_adjusted_elo,WTA,experience,5-19,2165,0.186869383274,0.547786384418,0.703464203233
surface_adjusted_elo,WTA,experience,<1,245,0.160221253784,0.487650677855,0.763265306122
surface_adjusted_elo,WTA,retirement,false,18911,0.181252292268,0.537124568984,0.722753952726
surface_adjusted_elo,WTA,retirement,true,226,0.246854909174,0.692588160798,0.615044247788
surface_adjusted_elo,WTA,round,F,151,0.230366461108,0.662124349851,0.615894039735
surface_adjusted_elo,WTA,round,QF,601,0.183634134269,0.544473140963,0.737104825291
surface_adjusted_elo,WTA,round,R128,9664,0.190067666251,0.557666608558,0.701986754967
surface_adjusted_elo,WTA,round,R16,1205,0.177034419142,0.529774688997,0.731950207469
surface_adjusted_elo,WTA,round,R32,2407,0.171691204031,0.513669781674,0.744495222268
surface_adjusted_elo,WTA,round,R64,4808,0.170104058562,0.510004055811,0.747088186356
surface_adjusted_elo,WTA,round,SF,301,0.189503039363,0.567133699932,0.734219269103
surface_adjusted_elo,WTA,slam,Australian Open,4822,0.182741964168,0.539204123115,0.72210700954
surface_adjusted_elo,WTA,slam,Roland Garros,4814,0.186327799859,0.550089938397,0.709597008725
surface_adjusted_elo,WTA,slam,US Open,4810,0.175460523284,0.522451721129,0.735758835759
surface_adjusted_elo,WTA,slam,Wimbledon,4691,0.183611684464,0.544216504938,0.718396930292
surface_elo,ATP,era,1988-1999,6083,0.20081563961,0.585896620251,0.68880486602
surface_elo,ATP,era,2000-2009,5072,0.19038081739,0.562158766179,0.71332807571
