tour,slam,era,entry_bucket,is_unranked,match_appearances,entrants_lt_1,pct_entrants_lt_1,entrants_lt_5,pct_entrants_lt_5,entrants_lt_10,pct_entrants_lt_10,entrants_lt_20,pct_entrants_lt_20,missing_ids
ATP,Roland Garros,2020-2025,Q,False,146,7,4.794520547945205,31,21.232876712328768,63,43.15068493150685,87,59.58904109589041,0
ATP,Roland Garros,2020-2025,WC,False,59,3,5.084745762711864,17,28.8135593220339,19,32.20338983050848,33,55.932203389830505,0
ATP,US Open,1988-1999,DIRECT_OR_MISSING,False,2578,0,0.0,3,0.11636927851047324,10,0.3878975950349108,45,1.7455391776570985,0
ATP,US Open,1988-1999,DIRECT_OR_MISSING,True,15,0,0.0,0,0.0,0,0.0,0,0.0,0
ATP,US Open,1988-1999,LL,False,21,0,0.0,0,0.0,3,14.285714285714286,6,28.571428571428573,0
ATP,US Open,1988-1999,Q,False,284,7,2.464788732394366,40,14.084507042253522,89,31.338028169014084,132,46.478873239436616,0
ATP,US Open,1988-1999,Q,True,2,1,50.0,2,100.0,2,100.0,2,100.0,0
ATP,US Open,1988-1999,WC,False,143,6,4.195804195804196,27,18.88111888111888,47,32.86713286713287,70,48.95104895104895,0
ATP,US Open,1988-1999,WC,True,5,4,80.0,4,80.0,5,100.0,5,100.0,0
ATP,US Open,2000-2009,DIRECT_OR_MISSING,False,2163,0,0.0,2,0.09246417013407304,3,0.13869625520110956,33,1.5256588072122053,0
ATP,US Open,2000-2009,DIRECT_OR_MISSING,True,2,0,0.0,0,0.0,0,0.0,0,0.0,0
ATP,US Open,2000-2009,LL,False,25,2,8.0,2,8.0,5,20.0,13,52.0,0
ATP,US Open,2000-2009,Q,False,248,9,3.629032258064516,30,12.096774193548388,58,23.387096774193548,112,45.16129032258065,0
ATP,US Open,2000-2009,WC,False,101,7,6.930693069306931,23,22.77227722772277,42,41.584158415841586,68,67.32673267326733,0
ATP,US Open,2000-2009,WC,True,1,1,100.0,1,100.0,1,100.0,1,100.0,0
ATP,US Open,2010-2019,DIRECT_OR_MISSING,False,2205,4,0.18140589569160998,10,0.45351473922902497,21,0.9523809523809523,49,2.2222222222222223,0
ATP,US Open,2010-2019,LL,False,23,0,0.0,1,4.3478260869565215,4,17.391304347826086,9,39.130434782608695,0
ATP,US Open,2010-2019,Q,False,235,11,4.680851063829787,43,18.29787234042553,66,28.085106382978722,113,48.08510638297872,0
ATP,US Open,2010-2019,WC,False,76,5,6.578947368421052,12,15.789473684210526,21,27.63157894736842,31,40.78947368421053,0
ATP,US Open,2010-2019,WC,True,1,1,100.0,1,100.0,1,100.0,1,100.0,0
ATP,US Open,2020-2025,DIRECT_OR_MISSING,False,1342,6,0.44709388971684055,19,1.4157973174366616,39,2.9061102831594634,76,5.663189269746646,0
ATP,US Open,2020-2025,DIRECT_OR_MISSING,True,3,0,0.0,0,0.0,0,0.0,0,0.0,0
ATP,US Open,2020-2025,LL,False,11,0,0.0,1,9.090909090909092,1,9.090909090909092,4,36.36363636363637,0
ATP,US Open,2020-2025,Q,False,113,7,6.1946902654867255,14,12.389380530973451,35,30.97345132743363,64,56.63716814159292,0
ATP,US Open,2020-2025,WC,False,55,2,3.6363636363636362,11,20.0,16,29.09090909090909,32,58.18181818181818,0
ATP,Wimbledon,1988-1999,DIRECT_OR_MISSING,False,2526,0,0.0,2,0.0791765637371338,9,0.35629453681710216,54,2.137767220902613,0
ATP,Wimbledon,1988-1999,DIRECT_OR_MISSING,True,18,0,0.0,0,0.0,0,0.0,2,11.11111111111111,0
ATP,Wimbledon,1988-1999,LL,False,41,0,0.0,1,2.4390243902439024,7,17.073170731707318,15,36.58536585365854,0
