tour,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
ATP,19177,274,1.4287949105699536,1112,5.798612921729155,1976,10.304010011993533,3429,17.880794701986755,0
WTA,19177,245,1.2775720915680242,934,4.870417687855244,1697,8.849142201595662,3101,16.170412473275277,0
