analysis_version,population,tour,slam,model,exclusion_scope,exclusion_reason,excluded_rows
slam-upsets-v1,completed_non_retirement,WTA,Wimbledon,surface_elo,all_analysis_metrics,walkover,8
slam-upsets-v1,completed_non_retirement,WTA,Wimbledon,surface_elo,upset_and_favorite_calibration,exact_probability_tie,19
slam-upsets-v1,completed_non_retirement,WTA,Wimbledon,surface_adjusted_elo,all_analysis_metrics,retirement,56
slam-upsets-v1,completed_non_retirement,WTA,Wimbledon,surface_adjusted_elo,all_analysis_metrics,walkover,8
slam-upsets-v1,completed_non_retirement,WTA,US Open,overall_elo,all_analysis_metrics,retirement,52
slam-upsets-v1,completed_non_retirement,WTA,US Open,overall_elo,all_analysis_metrics,walkover,16
slam-upsets-v1,completed_non_retirement,WTA,US Open,overall_elo,upset_and_favorite_calibration,exact_probability_tie,1
slam-upsets-v1,completed_non_retirement,WTA,US Open,surface_elo,all_analysis_metrics,retirement,52
slam-upsets-v1,completed_non_retirement,WTA,US Open,surface_elo,all_analysis_metrics,walkover,16
slam-upsets-v1,completed_non_retirement,WTA,US Open,surface_elo,upset_and_favorite_calibration,exact_probability_tie,1
slam-upsets-v1,completed_non_retirement,WTA,US Open,surface_adjusted_elo,all_analysis_metrics,retirement,52
slam-upsets-v1,completed_non_retirement,WTA,US Open,surface_adjusted_elo,all_analysis_metrics,walkover,16
slam-upsets-v1,completed_non_retirement,WTA,US Open,surface_adjusted_elo,upset_and_favorite_calibration,exact_probability_tie,1
slam-upsets-v1,retirement_inclusive,ATP,Australian Open,overall_elo,all_analysis_metrics,walkover,12
slam-upsets-v1,retirement_inclusive,ATP,Australian Open,surface_elo,all_analysis_metrics,walkover,12
slam-upsets-v1,retirement_inclusive,ATP,Australian Open,surface_adjusted_elo,all_analysis_metrics,walkover,12
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,overall_elo,all_analysis_metrics,format_conflict,4
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,overall_elo,all_analysis_metrics,walkover,14
