analysis_version,sample,variant_label,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips_vs_frozen_market,ties_created_vs_frozen_market,ties_removed_vs_frozen_market,bootstrap_unit,bootstrap_replicates,bootstrap_seed
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,ATP,Australian Open,2001,2025,2958,2958,2958,796.740588765502,697,-99.74058876550203,26.935111182065654,23.563218390804597,-3.3718927912610557,-4.318579008601584,0.15850462173501553,0.48259921504660763,25,25,25,26.153396015835995,27.848641571191123,22.06883676288129,25.165158374198914,-4.426069662737051,-2.2822555737714145,-5.668844975965297,-2.91249672218979,0.15246315951583522,0.16510624882124028,0.46793536738643055,0.4984739473987365,0,0,0,tour-Slam tournament edition,2000,14154399320137753664
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,ATP,Roland Garros,2001,2025,3036,3035,3035,805.3994374205556,693,-112.39943742055561,26.537049008914515,22.833607907742998,-3.7034411011715194,-4.832858179568539,0.15886576751855472,0.484544000530049,25,25,25,25.68739497302976,27.457812949409185,20.988346341858644,24.660775230203033,-5.085000622273057,-2.3596656076143,-6.676567856238251,-3.0640259748846246,0.15080152008726408,0.16693905713970383,0.46511561848311567,0.5042386695325735,0,0,0,tour-Slam tournament edition,2000,2028466682296424418
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,ATP,US Open,2001,2025,2992,2987,2987,803.786533597238,740,-63.78653359723796,26.90949225300428,24.774020756611982,-2.1354714963922987,-2.7484293461186993,0.1666393073190555,0.5031204936140495,25,25,25,26.187554595458273,27.701377463861753,23.44890239221176,26.04328778460968,-3.3582027252140016,-0.924349773064074,-4.314972064830088,-1.2012607146548138,0.16025747348733851,0.17265504689508157,0.48811611212653344,0.5173488320594283,0,0,0,tour-Slam tournament edition,2000,13806415508881088107
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,ATP,Wimbledon,2001,2025,2933,2930,2930,794.2325119583192,667,-127.23251195831915,27.106911670932394,22.764505119453926,-4.3424065514784695,-5.519705856323306,0.16085423134345384,0.49067474931235516,24,24,24,26.215896620591035,28.065368732840664,21.367514027252952,24.223193707634604,-5.938544438589631,-2.824624116899983,-7.495235644350848,-3.6016012983487022,0.15480467321430233,0.16748541520242638,0.4759687468724526,0.5069287833916021,0,0,0,tour-Slam tournament edition,2000,18421445730861777323
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,WTA,Australian Open,2007,2025,2382,2380,2380,677.4525632439609,650,-27.452563243960867,28.464393413611802,27.3109243697479,-1.1534690438639021,-1.2966366140429988,0.1754059741612016,0.5250311378502452,19,19,19,27.717211479833402,29.29657832295553,25.840300885454855,29.152946063358428,-2.7265361632682263,0.6191871437462597,-3.0447814824310893,0.698965325673705,0.1692177085605871,0.1833386802126573,0.5100198022987152,0.5436059372606984,0,0,0,tour-Slam tournament edition,2000,1323309061408498633
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,WTA,Roland Garros,2007,2025,2368,2365,2365,675.2287155492043,647,-28.228715549204253,28.5508970633913,27.357293868921776,-1.1936031944695245,-1.3350547348451869,0.17679903952756695,0.5276917331069164,19,19,19,27.813085906665524,29.258153555279108,25.338114008911592,29.337000537056923,-2.816295511846387,0.4680667674297811,-3.1701518978695344,0.5225529991150166,0.16872651248238407,0.18443844835711484,0.5082340492846997,0.5456748659913954,0,0,0,tour-Slam tournament edition,2000,1726407977636770595
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,WTA,US Open,2007,2025,2375,2371,2371,672.6907550350625,613,-59.690755035062466,28.37160502045814,25.85407001265289,-2.51753500780525,-2.824160484554158,0.1751265252393289,0.5255690183043814,19,19,19,27.63305497521196,29.059347368051636,24.438610679652182,27.44157352997657,-3.6171025233905456,-1.2774302878437416,-4.056654605023035,-1.4267601487104395,0.16863582565249025,0.1810277916233612,0.5094460693956623,0.5394519347517039,0,0,0,tour-Slam tournament edition,2000,11482632938573112719
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,WTA,Wimbledon,2007,2025,2242,2241,2241,645.7023917324303,632,-13.702391732430328,28.813136623490866,28.201695671575187,-0.6114409519156773,-0.6623922036563813,0.18412706034176154,0.5459873969003455,18,18,18,27.852795628481587,29.624878986399104,26.414022438603777,29.99610691150496,-2.323377846421622,1.0818510121004614,-2.502322013436353,1.179219268835141,0.1765095080514549,0.19191255095735746,0.527774312682481,0.5639574505434186,0,0,0,tour-Slam tournament edition,2000,4747815576814358928
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,ATP,Australian Open,2001,2025,2958,2958,2958,796.740588765502,697,-99.74058876550203,26.935111182065654,23.563218390804597,-3.3718927912610557,-4.318579008601584,0.15850462173501553,0.48259921504660763,25,25,25,26.140617040758258,27.886172382359337,22.05031364250833,25.14694768916694,-4.4878370760071675,-2.3598892896830934,-5.768018570601073,-3.0291746384029663,0.15207308125537047,0.16517824878462287,0.46691718822625944,0.49907427243572,0,0,0,tour-Slam tournament edition,2000,8906182919940487839
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,ATP,Roland Garros,2001,2025,3036,3035,3035,805.3994374205556,693,-112.39943742055561,26.537049008914515,22.833607907742998,-3.7034411011715194,-4.832858179568539,0.15886576751855472,0.484544000530049,25,25,25,25.664415546971078,27.452858491352647,21.075013385020103,24.684238606133245,-5.112166679531609,-2.292893683166656,-6.702661568663685,-2.9860301318608466,0.15146615677784828,0.16672427734489667,0.4667190563090519,0.5035413423848409,0,0,0,tour-Slam tournament edition,2000,16661643451922022480
