robustness_version,scenario,comparison_value,tour,slam,model,reference_model,matches_delta,expected_per_100_delta,actual_per_100_delta,excess_per_100_delta,brier_score_delta,log_loss_delta
slam-robustness-v1,common_retirement_inclusive,retirements_included,ATP,US Open,market_odds,market_odds,161,0.0752216501763101,0.5516862659491863,0.47646461577287247,0.003142654956193619,0.007311244068524014
slam-robustness-v1,common_retirement_inclusive,retirements_included,ATP,US Open,overall_elo,overall_elo,161,0.1167180755739885,0.7106344413952463,0.593916365821257,0.002682249210463228,0.006002645579034738
slam-robustness-v1,common_retirement_inclusive,retirements_included,ATP,US Open,surface_adjusted_elo,surface_adjusted_elo,161,0.10598796199402472,0.6857395367150474,0.579751574721024,0.0026912012256305184,0.005946408134368086
slam-robustness-v1,common_retirement_inclusive,retirements_included,ATP,Wimbledon,market_odds,market_odds,98,0.04525971084666125,0.5842399267812155,0.5389802159345507,0.0027113975499823417,0.006200149081148798
slam-robustness-v1,common_retirement_inclusive,retirements_included,ATP,Wimbledon,overall_elo,overall_elo,98,0.05628360712722724,0.6785885547040138,0.6223049475767877,0.0027702384842632766,0.006210222072110083
slam-robustness-v1,common_retirement_inclusive,retirements_included,ATP,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,98,0.05702462136626707,0.6643364627567614,0.6073118413904952,0.00250015109579671,0.005475297458574113
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Australian Open,market_odds,market_odds,29,0.025995717631499105,0.12784690463981008,0.1018511870083092,0.0003539882233456748,0.0007742452435708369
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Australian Open,overall_elo,overall_elo,29,0.03395921898973242,0.1063032887677906,0.07234406977805641,0.0007039646223105933,0.0016950607005465912
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Australian Open,surface_adjusted_elo,surface_adjusted_elo,29,0.032915271278607605,0.10781817592959086,0.07490290465098459,0.0006776664617926809,0.0016397720037502062
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Roland Garros,market_odds,market_odds,36,0.060618395754122645,0.006304631702963803,-0.054313764051159064,0.000716064698221136,0.0019191237004759776
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Roland Garros,overall_elo,overall_elo,36,0.049883070083719616,0.21339715339299303,0.16351408330927564,0.00128464289558608,0.003241005080056092
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,36,0.053317201574561324,0.21592672123037815,0.1626095196558175,0.0012108238838239305,0.0030118156425186227
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,US Open,market_odds,market_odds,28,0.028141093103897674,0.15676783645090353,0.12862674334700763,0.0007414668214500153,0.001638187324922491
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,US Open,overall_elo,overall_elo,28,0.017111175387441335,0.21325974111308454,0.19614856572563955,0.0009846948328056104,0.0021531623758408447
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,US Open,surface_adjusted_elo,surface_adjusted_elo,28,0.019532064449698794,0.16722955954180208,0.14769749509210295,0.000962819236853929,0.0020976351609607313
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Wimbledon,market_odds,market_odds,38,0.0403441281413599,0.10019112087763915,0.05984699273628169,0.0010245148967390483,0.002485270313810628
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Wimbledon,overall_elo,overall_elo,38,0.03124264175904301,0.09292298542967714,0.06168034367063413,0.0010334971732574028,0.002555953907287467
slam-robustness-v1,common_retirement_inclusive,retirements_included,WTA,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,38,0.026899509692928092,0.10407374368123712,0.07717423398830825,0.0010743466082688558,0.0026846813066698783
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Australian Open,market_odds,market_odds,-7,0.006854917565700447,0.022006956535285838,0.015152038969584947,0.00019921911191211894,0.0004394549396678493
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Australian Open,overall_elo,overall_elo,-7,0.01131440014587426,0.06262989660510598,0.05131549645923217,0.0002296771721424229,0.000511042731797362
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-7,0.012276302928508898,0.06230912888882045,0.050032825960312444,0.00022961943313987154,0.0005106167528652339
