robustness_version,tour,slam,model_a,model_b,difference_direction,matches,editions,bootstrap_unit,bootstrap_replicates,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
slam-robustness-v1,ATP,Australian Open,market_odds,surface_adjusted_elo,model_a minus model_b,2958,25,tour-Slam edition,2000,1.1101671957148787,-0.2043473779907621,2.363041235140999,-0.014759533819985765,-0.017551992621474957,-0.01170948042008889,-0.038304566123297246,-0.045171245006649666,-0.030988585359119268
slam-robustness-v1,ATP,Australian Open,overall_elo,surface_adjusted_elo,model_a minus model_b,2958,25,tour-Slam edition,2000,0.591917315201655,0.1358260487307973,1.0457829242750794,0.00016492065672682465,-0.00020191567624163742,0.0005799359043562646,-0.00010415077102021719,-0.000930155808768729,0.0008502064608623458
slam-robustness-v1,ATP,Roland Garros,market_odds,surface_adjusted_elo,model_a minus model_b,3036,25,tour-Slam edition,2000,0.4213941768589944,-1.3885007822020294,2.2611602116581353,-0.018218441815366526,-0.021720903819803874,-0.014421607988640601,-0.04481451338210318,-0.05301983764090083,-0.03601157233679809
slam-robustness-v1,ATP,Roland Garros,overall_elo,surface_adjusted_elo,model_a minus model_b,3036,25,tour-Slam edition,2000,1.5336671987441521,0.766238060551039,2.2363454024778773,0.0024060563738482754,0.0013405642700655724,0.0035832774986347756,0.00443123236475873,0.0017559337194902823,0.0073866054943691785
slam-robustness-v1,ATP,Wimbledon,market_odds,surface_adjusted_elo,model_a minus model_b,2933,24,tour-Slam edition,2000,0.782905550031292,-1.501319876050054,2.9637370774280174,-0.022591167426748382,-0.026906180969704246,-0.018468790751084724,-0.05561750901884066,-0.06473780465697256,-0.04674066799484694
slam-robustness-v1,ATP,Wimbledon,overall_elo,surface_adjusted_elo,model_a minus model_b,2933,24,tour-Slam edition,2000,3.0264999619090376,2.4601719147787073,3.634304791826326,0.0006764075298937022,-0.0006152870979286094,0.0019819043400856264,0.0003924255206865235,-0.002812770981680546,0.003503174211870592
slam-robustness-v1,ATP,US Open,market_odds,surface_adjusted_elo,model_a minus model_b,2992,25,tour-Slam edition,2000,1.937271269828853,0.5478848068770843,3.2192839365651795,-0.011416293460048882,-0.014901704246954061,-0.008577587647479908,-0.028078257675313467,-0.036321204818090994,-0.021391136955746442
slam-robustness-v1,ATP,US Open,overall_elo,surface_adjusted_elo,model_a minus model_b,2992,25,tour-Slam edition,2000,0.84185727107507,0.2520619272769789,1.4239006121708535,0.00032342828313824956,-0.0004077042588282974,0.0010724195830794949,0.00011869858755331197,-0.001589261610188747,0.0018474338546971816
slam-robustness-v1,WTA,Australian Open,market_odds,surface_adjusted_elo,model_a minus model_b,2382,19,tour-Slam edition,2000,-2.808340196465104,-4.112201472622636,-1.4779315027555078,-0.011953868912031512,-0.015330736931353645,-0.008230212291473577,-0.02711968684366084,-0.035937024114493864,-0.01778475638139185
slam-robustness-v1,WTA,Australian Open,overall_elo,surface_adjusted_elo,model_a minus model_b,2382,19,tour-Slam edition,2000,0.4686192931047428,-0.028544496843656973,0.9944351654922932,0.0007735189061532366,0.000291065114061255,0.001243188533297168,0.0018249561345786702,0.0006124771752301251,0.002982580766705186
slam-robustness-v1,WTA,Roland Garros,market_odds,surface_adjusted_elo,model_a minus model_b,2368,19,tour-Slam edition,2000,-2.569335118012951,-4.297505808443424,-0.8817080162566838,-0.01544222358114794,-0.018165734526334073,-0.012621700041792801,-0.03660565557515816,-0.04388469199242782,-0.029428941013094283
slam-robustness-v1,WTA,Roland Garros,overall_elo,surface_adjusted_elo,model_a minus model_b,2368,19,tour-Slam edition,2000,1.4493827272173756,0.8689041695386902,1.9744959714511816,0.0013711957029000632,0.00013876595391045177,0.002443300578939351,0.003459184983509944,0.00025709060076000437,0.006337439926305351
slam-robustness-v1,WTA,Wimbledon,market_odds,surface_adjusted_elo,model_a minus model_b,2242,18,tour-Slam edition,2000,-1.3758482470994022,-3.050287836415787,0.31227478658735547,-0.011569643346034858,-0.01552831533867768,-0.00755356271457456,-0.028252913304472882,-0.03759863070703467,-0.01892442577560433
slam-robustness-v1,WTA,Wimbledon,overall_elo,surface_adjusted_elo,model_a minus model_b,2242,18,tour-Slam edition,2000,2.9932916248399533,2.3957195401039457,3.6334885198878153,0.002330274273993571,0.0009022257937675568,0.0037001645318586606,0.0069372261392105505,0.0028874465142594537,0.011009280298735885
slam-robustness-v1,WTA,US Open,market_odds,surface_adjusted_elo,model_a minus model_b,2375,19,tour-Slam edition,2000,-3.098855271911633,-4.4821679040058235,-1.7196952974490072,-0.011418628518113899,-0.0164305088118892,-0.0066396081187888815,-0.02736985728772534,-0.03987898022913878,-0.01555375281058538
slam-robustness-v1,WTA,US Open,overall_elo,surface_adjusted_elo,model_a minus model_b,2375,19,tour-Slam edition,2000,-0.0655972312640235,-0.5427170242073749,0.4529203873696145,0.0001755145384420842,-0.0006731406423860012,0.0009874079467688598,0.0002265391688259788,-0.00201503348207169,0.0024240100241260856
