robustness_version,sample,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,expected_per_100,actual_per_100,excess_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,bootstrap_replicates,bootstrap_unit
slam-robustness-v1,maximum_available,ATP,Australian Open,overall_elo,all,all,1988,2025,4639,31.02646669006991,28.023280879499893,-3.0031858105700167,30.51275320689694,31.572274677225938,26.679331164107236,29.30042541715562,-4.127344503194575,-1.8981647764511047,0.17995097822906456,0.17513506341678034,0.18475117287127418,0.5356458355784874,0.5240747163363737,0.5469531649484006,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,overall_elo,era,1988-1999,1988,1999,1473,32.03778107691549,30.889341479972845,-1.1484395969426453,31.376485874698425,32.683654772021164,28.959891230455472,32.88137886745717,-3.141647553542557,0.7620608841506119,0.19205970680649986,0.1865298402147547,0.19766881304537537,0.5630397349058676,0.5504881786703428,0.5763764862458961,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,overall_elo,era,2000-2009,2000,2009,1219,31.657592875467373,27.97374897456932,-3.683843900898053,30.607630717564724,32.74903445687353,26.118535234300783,29.966900899540523,-5.091029037383468,-2.138322315107161,0.17998215635508164,0.17151413767565676,0.1885569513209584,0.5367849005500075,0.5169541596323131,0.5570165522967084,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,overall_elo,era,2010-2019,2010,2019,1210,29.211610675844852,24.958677685950413,-4.252932989894439,28.83153906253976,29.67355272961201,22.644160621301978,27.220296570580636,-6.492398037569241,-2.1389097699716113,0.1656088153554115,0.1574883120796905,0.17364809643720464,0.5021342431047913,0.48388953902108495,0.5208571742129301,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,overall_elo,era,2020-2025,2020,2025,737,30.94094004880635,27.408412483039346,-3.5325275657670026,30.483834267955864,31.347801101095214,24.79892761394102,30.108217088055792,-6.473935501281063,-0.38905387503469074,0.1792452166916724,0.17260376252577436,0.18494366444379123,0.5340302222591718,0.5193539351072295,0.5481908006730779,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,surface_adjusted_elo,all,all,1988,2025,4639,31.537499182083696,27.915499029963353,-3.622000152120341,31.017814521327207,32.06400801838664,26.59605405031046,29.3486502253872,-4.809503953313135,-2.3903892879247333,0.17963200005246546,0.17496254681381848,0.1843895585952914,0.5353601835677397,0.5244835951908534,0.546305653605276,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,surface_adjusted_elo,era,1988-1999,1988,1999,1473,32.63954686662149,30.889341479972845,-1.7502053866486402,32.10591345452263,33.190456989526126,28.53218274371133,33.288137886745716,-4.162120513295358,0.6535905870512255,0.19130240270902554,0.18592725964921153,0.19687231908412772,0.56166782807123,0.5495288334866903,0.5748395859230309,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,surface_adjusted_elo,era,2000-2009,2000,2009,1219,32.22110581903571,27.64561115668581,-4.575494662349899,31.190059030951804,33.315683292343465,25.956424568794755,29.411764705882355,-5.685283256619745,-3.3747048849759382,0.18005289293526566,0.17162721784163137,0.18809399395976442,0.5377283508597661,0.5181331590822651,0.5561722449467106,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,surface_adjusted_elo,era,2010-2019,2010,2019,1210,29.659504659641176,24.793388429752067,-4.86611622988911,29.253052479115464,30.087947973484564,22.497724534868155,26.894254787676935,-7.15558246435586,-2.7604515396200866,0.16526710674658115,0.1573884633232453,0.17281646498914127,0.5018121460154991,0.4839493955557405,0.5194886938609938,2000,
slam-robustness-v1,maximum_available,ATP,Australian Open,surface_adjusted_elo,era,2020-2025,2020,2025,737,31.287486485185113,27.544097693351425,-3.743388791833688,30.832923373088857,31.718270956390917,24.965893587994543,30.34190662566396,-6.666426146989253,-0.6752827834137544,0.17919502496817047,0.17314368740151131,0.18489064257864615,0.5339425026390888,0.5196721220706813,0.5477349318827034,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,overall_elo,all,all,1988,2025,4663,30.720594309827305,28.87792319244797,-1.8426711173793353,30.17012033579338,31.259082459637085,26.99678983111531,30.723471787909627,-3.5357698033302905,-0.12089469429370622,0.1879866080527324,0.18044463425164126,0.19543769666794208,0.5540859709765139,0.5362410148401325,0.571524627236997,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,overall_elo,era,1988-1999,1988,1999,1488,31.929559737279337,32.3252688172043,0.3957090799249634,31.523222616917298,32.307964174884944,29.905774434680097,35.20279762667203,-1.9777486220268832,3.23946461998353,0.2051859366770313,0.19597622909851056,0.21601892069666903,0.5948994949883649,0.5734341329353642,0.6196196913387171,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,overall_elo,era,2000-2009,2000,2009,1211,30.94908685514292,30.63583815028902,-0.31324870485390083,30.006267777403057,31.84948069547737,27.73570781553744,33.36059376772217,-3.1233363006555055,2.479323544735477,0.19368568426200128,0.18298544306389172,0.20402991156951308,0.566788947449604,0.5417024939569791,0.5911873887428597,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,overall_elo,era,2010-2019,2010,2019,1226,28.82193357322921,23.428571428571427,-5.393362144657783,27.950523647542738,29.749735939263726,20.72368421052632,26.037598734913622,-8.303204371560373,-2.2728504542716523,0.16277741936929907,0.15452069813267008,0.17013822467532455,0.49462080148962295,0.47444503203532157,0.5129095287328519,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,overall_elo,era,2020-2025,2020,2025,738,31.060098209293944,28.08683853459973,-2.973259674694217,30.291479707582706,31.694475959670342,25.033163265306126,31.486486486486488,-5.816118777555286,0.1600782088421732,0.18583523006290312,0.17529042941094045,0.1989343763285902,0.5497370137304153,0.5249642879458932,0.5806868770960439,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,surface_adjusted_elo,all,all,1988,2025,4663,31.866907030382848,28.405921476078092,-3.460985554304756,31.332767200530057,32.36848386063177,26.648079586182927,30.237268638627803,-4.994627271432617,-1.850402256460288,0.18514838364425565,0.17812772784625822,0.19228794561923132,0.5484888766186106,0.5325594625247996,0.5649239596496093,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,surface_adjusted_elo,era,1988-1999,1988,1999,1488,33.03894985077459,31.653225806451612,-1.3857240443229824,32.657940919162016,33.39113255556955,28.92433488362064,34.59210694173607,-4.083738045942222,1.5568848588180546,0.20150337225749687,0.1921591398582036,0.2114424457606742,0.5869431272577954,0.5656245333497963,0.6088028091016098,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,surface_adjusted_elo,era,2000-2009,2000,2009,1211,32.0600322665698,30.388109000825764,-1.6719232657440357,31.18151995367597,32.90995698925809,27.83331280788177,32.83705541770058,-4.343183035886087,0.8843545659257367,0.18951590629589038,0.18030411570802446,0.19874269876133638,0.5581010225739181,0.5362857463890087,0.579591405008005,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,surface_adjusted_elo,era,2010-2019,2010,2019,1226,29.872591637805595,23.10204081632653,-6.770550821479065,29.025889808498818,30.727035929031718,20.57112312030075,25.809193257645234,-9.34210705235116,-3.941275768952266,0.1621138170599033,0.1543630451881638,0.16924338845729475,0.4946040762888342,0.47626614667209904,0.5120130682047942,2000,
slam-robustness-v1,maximum_available,ATP,Roland Garros,surface_adjusted_elo,era,2020-2025,2020,2025,738,32.498063038716225,27.408412483039346,-5.089650555676881,31.752890037868983,33.09923871370777,24.35374149659864,30.708089464882935,-7.692922966942935,-2.3028319087764455,0.18327180592716005,0.17355401585119243,0.1951687805378416,0.5446982688968256,0.5228458186503595,0.5706284125343253,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,overall_elo,all,all,1988,2025,4562,30.730756020967046,29.526523454625163,-1.2042325663418836,30.164244957675006,31.30702995538724,28.24796658606287,30.82801832009136,-2.254934232790649,-0.19500949335816772,0.19083857231674417,0.18489328935391885,0.19662501408913574,0.5624357270999572,0.5479851299554883,0.5757338652232475,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,overall_elo,era,1988-1999,1988,1999,1501,31.88525698759125,31.712191872085278,-0.1730651155059726,31.189017978280646,32.544841901588406,29.90637014346888,33.709393914342435,-1.9250806283303208,1.6762367146713437,0.20045890692388504,0.1944352833815976,0.20625147007855593,0.5846178742184837,0.5696412116163881,0.5989210736129544,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,overall_elo,era,2000-2009,2000,2009,1224,30.744390670614365,29.901960784313726,-0.8424298863006381,29.854631059689194,31.567267869604894,27.00214874723024,32.76564677674627,-3.181545247557638,1.5992580773154577,0.1946665899425575,0.17923320339982696,0.20914330406782736,0.5702520223959922,0.5330093302852313,0.6048772743997721,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,overall_elo,era,2010-2019,2010,2019,1223,28.677558478549066,26.90106295993459,-1.776495518614479,27.9973534956989,29.389888010359055,25.32227047146402,28.59463850528026,-3.0285416104409615,-0.5715758071849779,0.17797619271999898,0.16988336107000315,0.18606039313716752,0.5340694682991328,0.515601213521957,0.5526335133857647,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,overall_elo,era,2020-2025,2021,2025,614,31.970928386285912,28.664495114006513,-3.3064332722794005,31.264037748586823,32.53559748707438,25.2442996742671,31.442463533225283,-6.854403219635595,-0.7862461669708168,0.18530937757326843,0.1734786509359884,0.19711454538428735,0.549128538575772,0.5223867545316994,0.5761213378619511,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,surface_adjusted_elo,all,all,1988,2025,4562,33.10778004467746,28.737395879000438,-4.370384165677025,32.554215068595106,33.61967037676876,27.34505978621139,30.109334692935565,-5.5413581078827585,-3.2248033124966797,0.18937259953551103,0.18386412074165762,0.19467929885725757,0.5597962414808608,0.547206821843404,0.5718486179536961,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,surface_adjusted_elo,era,1988-1999,1988,1999,1501,34.13086755147598,30.512991339107263,-3.617876212368717,33.42375409334077,34.787044596087746,28.61907384914423,32.69157330176009,-5.6032417178384355,-1.5995951762889777,0.19795213918629886,0.1926078519210101,0.20347073489784723,0.5791354063575254,0.5666924235358944,0.5921221106296536,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,surface_adjusted_elo,era,2000-2009,2000,2009,1224,33.22491707452839,29.084967320261438,-4.139949754266957,32.39271625458748,33.99228111715147,26.195877857671288,32.05562051121798,-6.292518509597438,-1.7358294425672245,0.19111224501693896,0.17757715767512994,0.20478590749019693,0.5633290218782715,0.5321069175742589,0.5948132392954804,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,surface_adjusted_elo,era,2010-2019,2010,2019,1223,31.134299632630796,26.24693376941946,-4.887365863211336,30.493585557277516,31.771827819513238,24.429779297147956,27.977411693447635,-6.338975574660992,-3.5654967381876532,0.17797439322420416,0.17103043686018637,0.18515654529064482,0.5344564925209118,0.518824657443084,0.5504400023058583,2000,
slam-robustness-v1,maximum_available,ATP,Wimbledon,surface_adjusted_elo,era,2020-2025,2021,2025,614,34.304093516486944,28.664495114006513,-5.639598402480432,33.659187991415635,34.81055490015904,24.342105263157897,32.569558101473,-10.056553441702395,-1.643037888717955,0.18763447450884269,0.17661801106531824,0.1998184717927091,0.5559498299038459,0.5307731816411275,0.5829112521396496,2000,
slam-robustness-v1,maximum_available,ATP,US Open,overall_elo,all,all,1988,2025,4589,30.974132314749365,27.425332461303686,-3.548799853445678,30.379977024073497,31.57476760384925,26.147377202380614,28.668342927176607,-4.7217814794709,-2.468234349165999,0.18246109205020503,0.17726510998693032,0.18731276864579727,0.5414635636472185,0.5295229553375934,0.5529415319719179,2000,
slam-robustness-v1,maximum_available,ATP,US Open,overall_elo,era,1988-1999,1988,1999,1463,32.15955566915242,28.454172366621066,-3.705383302531351,31.437924627972972,32.79277219642373,26.47436988255581,30.178488435960485,-5.945180353343197,-1.7812021462920051,0.19082170086671932,0.18434553790585992,0.19607992555755685,0.5617326515507812,0.5469764879490376,0.5742175934895674,2000,
slam-robustness-v1,maximum_available,ATP,US Open,overall_elo,era,2000-2009,2000,2009,1218,30.815137867668867,26.4367816091954,-4.378356258473466,29.905953248761264,31.69195845852985,24.42582600808334,28.782925346088547,-6.443951493188747,-2.2396064565366043,0.17656855385178566,0.16861003541435363,0.18517109327446246,0.5282495550498858,0.5095525726155007,0.5478069716852512,2000,
slam-robustness-v1,maximum_available,ATP,US Open,overall_elo,era,2010-2019,2010,2019,1182,29.173936142690188,25.80372250423012,-3.370213638460068,28.374298609109562,30.05240016618761,22.985581000848175,28.799648373755144,-5.848003845773486,-0.8613886005270381,0.17452913142398785,0.1630271321988548,0.18640985471479637,0.5212903031747511,0.4955476851437548,0.5484041210620078,2000,
slam-robustness-v1,maximum_available,ATP,US Open,overall_elo,era,2020-2025,2020,2025,726,31.785715994446686,29.655172413793103,-2.1305435806535837,30.701806449485094,32.962985950718185,27.999860724233983,30.821917808219176,-4.0929657093003025,-0.36315719199569435,0.18841304561398367,0.18317310639861356,0.19381955496760503,0.5556313057231034,0.5424169428862146,0.5685165924841634,2000,
slam-robustness-v1,maximum_available,ATP,US Open,surface_adjusted_elo,all,all,1988,2025,4589,31.70960789906051,27.141922825376064,-4.567685073684447,31.121253928924098,32.27327817249885,25.80203857613298,28.438040029367787,-5.789734099655116,-3.395202212212774,0.1813084172994686,0.17669521039565958,0.18587396960456892,0.5394910492960932,0.5288817306691544,0.5497137940576833,2000,
slam-robustness-v1,maximum_available,ATP,US Open,surface_adjusted_elo,era,1988-1999,1988,1999,1463,32.94667639301319,27.77017783857729,-5.176498554435901,32.30715509803153,33.52553650088286,25.96128892733564,29.46804750492544,-7.208378094321724,-3.305403859736448,0.18806136199644247,0.18138698447596852,0.19368027085276746,0.5561780992951667,0.5409749729952243,0.569516032608538,2000,
