analysis_version,variant_label,policy_sha256,dimension,tour,slam,matched_source_rows,source_available_rows,source_unavailable_rows,primary_completed_non_retirement_rows,frozen_common_available_rows,frozen_common_lost_rows,all_variants_common_rows,source_method_counts_json,terminal_reason_counts_json,no_imputation,fuzzy_matches_accepted
market-probability-sensitivities-v1,proportional_named_books_preferred_mean,ad24f6a0564c854b9d2b3c699d9a9675cfcb43d962c0ef9bda7060f45429c55a,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""named_book_consensus"":2281,""oddsportal_average_fallback"":4}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_mean,ad24f6a0564c854b9d2b3c699d9a9675cfcb43d962c0ef9bda7060f45429c55a,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""named_book_consensus"":2406,""oddsportal_average_fallback"":7}",{},True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,all,,,22098,21965,133,21281,21281,5,21281,"{""named_book_consensus"":21911,""oddsportal_average_fallback"":54}","{""named_raw_minimum_not_met_and_avg_unavailable"":5,""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""named_book_consensus"":3079,""oddsportal_average_fallback"":8}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,ATP,Roland Garros,3175,3155,20,3035,3035,1,3035,"{""named_book_consensus"":3146,""oddsportal_average_fallback"":9}","{""named_raw_minimum_not_met_and_avg_unavailable"":1,""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,ATP,Wimbledon,3048,3041,7,2931,2931,2,2931,"{""named_book_consensus"":3033,""oddsportal_average_fallback"":8}","{""named_raw_minimum_not_met_and_avg_unavailable"":2,""no_complete_price_pair"":5}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,ATP,US Open,3175,3161,14,2990,2990,2,2990,"{""named_book_consensus"":3148,""oddsportal_average_fallback"":13}","{""named_raw_minimum_not_met_and_avg_unavailable"":2,""no_complete_price_pair"":12}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,WTA,Australian Open,2413,2412,1,2382,2382,0,2382,"{""named_book_consensus"":2408,""oddsportal_average_fallback"":4}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,WTA,Roland Garros,2413,2411,2,2368,2368,0,2368,"{""named_book_consensus"":2410,""oddsportal_average_fallback"":1}","{""no_complete_price_pair"":2}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""named_book_consensus"":2281,""oddsportal_average_fallback"":4}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,power_named_books_preferred_mean,4bce510cc0336ee6e26a42d0bf11a5023d55b36a133e6d6cc572416a8be46bf3,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""named_book_consensus"":2406,""oddsportal_average_fallback"":7}",{},True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,all,,,22098,21965,133,21281,21281,5,21281,"{""named_book_consensus"":21911,""oddsportal_average_fallback"":54}","{""named_raw_minimum_not_met_and_avg_unavailable"":5,""no_complete_price_pair"":128}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,ATP,Australian Open,3175,3087,88,2958,2958,0,2958,"{""named_book_consensus"":3079,""oddsportal_average_fallback"":8}","{""no_complete_price_pair"":88}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,ATP,Roland Garros,3175,3155,20,3035,3035,1,3035,"{""named_book_consensus"":3146,""oddsportal_average_fallback"":9}","{""named_raw_minimum_not_met_and_avg_unavailable"":1,""no_complete_price_pair"":19}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,ATP,Wimbledon,3048,3041,7,2931,2931,2,2931,"{""named_book_consensus"":3033,""oddsportal_average_fallback"":8}","{""named_raw_minimum_not_met_and_avg_unavailable"":2,""no_complete_price_pair"":5}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,ATP,US Open,3175,3161,14,2990,2990,2,2990,"{""named_book_consensus"":3148,""oddsportal_average_fallback"":13}","{""named_raw_minimum_not_met_and_avg_unavailable"":2,""no_complete_price_pair"":12}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,WTA,Australian Open,2413,2412,1,2382,2382,0,2382,"{""named_book_consensus"":2408,""oddsportal_average_fallback"":4}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,WTA,Roland Garros,2413,2411,2,2368,2368,0,2368,"{""named_book_consensus"":2410,""oddsportal_average_fallback"":1}","{""no_complete_price_pair"":2}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,WTA,Wimbledon,2286,2285,1,2242,2242,0,2242,"{""named_book_consensus"":2281,""oddsportal_average_fallback"":4}","{""no_complete_price_pair"":1}",True,0
market-probability-sensitivities-v1,proportional_named_books_preferred_median,2b0c9b4f22d2b3fa4d291aff385e51a219df74d18760d996ee3323377b9dcd51,tour_slam,WTA,US Open,2413,2413,0,2375,2375,0,2375,"{""named_book_consensus"":2406,""oddsportal_average_fallback"":7}",{},True,0
