robustness_version,scenario,category,comparison_value,preferred_analysis,tour,slam,model,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,note
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rolling_selection_surface_0_25,False,ATP,US Open,elo_rolling_selection_surface_0_25,2001,2025,2992,2991,2991,843.6747122031196,806,-37.67471220311961,28.207111741996645,26.947509194249417,-1.2596025477472288,-1.6058027017447507,0.17615397862964513,0.5240138726792761,25,25,25,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rolling_selection_surface_0_25,False,ATP,Wimbledon,elo_rolling_selection_surface_0_25,2001,2025,2933,2933,2933,875.3727127587259,804,-71.37271275872592,29.84564312167494,27.41220593249233,-2.433437189182609,-2.9998084691330087,0.1809721012779943,0.5385861756475504,24,24,24,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rolling_selection_surface_0_25,False,WTA,Australian Open,elo_rolling_selection_surface_0_25,2007,2025,2382,2382,2382,736.3481253471818,698,-38.34812534718185,30.913019535985804,29.303106633081445,-1.6099129029043597,-1.7609784222182407,0.18798539548576543,0.5551293453702869,19,19,19,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rolling_selection_surface_0_25,False,WTA,Roland Garros,elo_rolling_selection_surface_0_25,2007,2025,2368,2368,2368,762.0865032913227,699,-63.08650329132274,32.18270706466735,29.51858108108108,-2.6641259835862643,-2.864597794052106,0.1910728454745347,0.562807680264164,19,19,19,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rolling_selection_surface_0_25,False,WTA,US Open,elo_rolling_selection_surface_0_25,2007,2025,2375,2375,2375,747.1513963634582,678,-69.15139636345816,31.459006162671923,28.54736842105263,-2.911637741619291,-3.163947821972981,0.18752809447147462,0.5553534596139559,19,19,19,
slam-robustness-v1,common_alternative_elo_parameters,model_sensitivity,elo_rolling_selection_surface_0_25,False,WTA,Wimbledon,elo_rolling_selection_surface_0_25,2007,2025,2242,2242,2242,742.0384516356253,683,-59.03845163562528,33.0971655502063,30.46387154326494,-2.6332940069413593,-2.72668143713834,0.19646593063391765,0.5767846662349134,18,18,18,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Australian Open,market_odds,2001,2025,2888,2888,2888,779.1602136596125,685,-94.16021365961251,26.979231774917334,23.718836565096954,-3.260395209820378,-4.123629904523051,0.1591968583770514,0.4842383355363578,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Australian Open,overall_elo,2001,2025,2888,2888,2888,873.525082037332,768,-105.52508203733203,30.24671336694363,26.59279778393352,-3.6539155830101118,-4.441365021637193,0.17409837316667168,0.5222824520928782,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Australian Open,surface_adjusted_elo,2001,2025,2888,2888,2888,886.3879358995353,763,-123.38793589953525,30.69210304361272,26.419667590027704,-4.2724354535850155,-5.165664962779767,0.17384006440145613,0.5221575376392182,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Roland Garros,market_odds,2001,2025,2902,2901,2901,771.5416232139521,663,-108.54162321395211,26.59571262371431,22.854188210961738,-3.7415244127525717,-4.769085548170855,0.15896949199832044,0.4848889265659595,25,25,25,
