tour,slam,dimension,group_value,completed_non_retirement_matches,both_ranked_non_ties,lower_ranked_winner,both_seeded_non_ties,lower_seeded_winner,seed_order_non_ties,lower_seed_order_winner,lower_ranked_winner_per_100,lower_seeded_winner_per_100,lower_seed_order_winner_per_100,interpretation,robustness_version
ATP,Roland Garros,round,R64,1181,1180,329,0,0,764,162,27.88135593220339,,21.20418848167539,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,round,SF,73,73,19,57,15,70,18,26.027397260273972,26.31578947368421,25.714285714285715,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,seed_field_regime,observed_max_seed_1_16,1730,1720,565,77,32,703,153,32.848837209302324,41.55844155844156,21.763869132290186,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Roland Garros,seed_field_regime,observed_max_seed_above_16,2933,2930,819,384,106,1981,429,27.95221843003413,27.604166666666668,21.65572942958102,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,all,all,4589,4560,1349,459,142,2691,589,29.583333333333332,30.93681917211329,21.887774061687104,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,era,1988-1999,1463,1441,446,71,25,606,122,30.950728660652324,35.2112676056338,20.13201320132013,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,era,2000-2009,1218,1215,343,141,35,791,171,28.23045267489712,24.822695035460992,21.61820480404551,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,era,2010-2019,1182,1181,328,161,54,811,177,27.77307366638442,33.54037267080745,21.8249075215783,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,era,2020-2025,726,723,232,86,28,483,119,32.088520055325034,32.55813953488372,24.63768115942029,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,F,38,38,16,35,15,38,16,42.10526315789474,42.857142857142854,42.10526315789474,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,QF,146,146,36,101,27,138,33,24.65753424657534,26.73267326732673,23.91304347826087,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,R128,2313,2291,721,0,0,955,182,31.470973374072457,,19.05759162303665,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,R16,293,293,79,130,49,261,71,26.962457337883958,37.69230769230769,27.203065134099617,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,R32,576,575,164,132,37,467,114,28.52173913043478,28.03030303030303,24.411134903640257,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,R64,1148,1142,316,0,0,758,157,27.6707530647986,,20.71240105540897,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,round,SF,75,75,17,61,14,74,16,22.666666666666668,22.950819672131146,21.62162162162162,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,seed_field_regime,observed_max_seed_1_16,1344,1324,405,68,27,567,116,30.589123867069485,39.705882352941174,20.458553791887127,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,US Open,seed_field_regime,observed_max_seed_above_16,3245,3236,944,391,115,2124,473,29.171817058096416,29.41176470588235,22.26930320150659,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,all,all,4562,4537,1393,420,122,2589,593,30.703107780471676,29.047619047619047,22.904596369254538,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
