analysis_version,sample,variant_label,bootstrap_seed,tour,contrast,start_year,end_year,calendar_years,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,574673019886729117,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3130275229375634,-0.15556905034968577,0.7860522410409945,-0.9591105655992678,-2.39059715280689,0.36730021144558184,-1.2721380885368307,-2.8980325461551355,0.17984159566588367,-0.0004823341807547177,-0.005451536897411044,0.004948405172381273,0.0005868462487862991,-0.011877948237076453,0.014272945066392562
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_mean,5971768299593489408,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.3508381243371623,-0.369011757355265,1.022828710536605,1.360932921134335,-0.7055545123547934,3.227989212923337,1.0100947967971723,-1.0507147267693622,2.80607700088107,0.008349880699062395,0.0008778052036758369,0.01560763307310802,0.019890100479830863,0.0024688778366414007,0.03684191698366451
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,17818422137282376748,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3130275229375634,-0.16552389996885736,0.7940982454532451,-0.9591105655992678,-2.358469839167,0.41397209405722746,-1.2721380885368307,-2.824450468080443,0.2627600326102693,-0.0004823341807547177,-0.005326170593520794,0.004305450579236052,0.0005868462487862991,-0.011262674537018505,0.012758447160946014
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,9687293354992792100,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.3508381243371623,-0.3645988515447554,1.0352117443387558,1.360932921134335,-0.8097377706649137,3.191338081895738,1.0100947967971723,-1.1120444810025816,2.8184820944569506,0.008349880699062395,0.0008318603644352906,0.015641292137752907,0.019890100479830863,0.002761073171908479,0.03712986173052744
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,13367032202011981785,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.30740409482098485,-0.16147372387276046,0.7612570127018612,-0.9516026795386914,-2.3932817597559484,0.3754627151546306,-1.2590067743596736,-2.926154445732245,0.23803318633137624,-0.0004799576615362733,-0.005430469136308818,0.004757087456742845,0.0005693649033882142,-0.011528740864777348,0.013836529351774747
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,16825628868815761064,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.3508381243371623,-0.35430678659802817,1.0059471446418344,1.360932921134335,-0.5859069575619804,3.196550011818236,1.0100947967971723,-0.946641364908208,2.808743541909832,0.008349880699062395,0.0009236788346608815,0.01568718393927758,0.019890100479830863,0.003111170192669008,0.036864973388221825
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,8698717534074676535,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3205746445144264,-0.16921152298897973,0.8181786627145562,-1.0104897815099108,-2.353595127671097,0.28172484470479786,-1.3310644260243376,-2.906171635330347,0.1577424265196858,-0.0007901759264477282,-0.006143923316854839,0.00500864355186961,0.0008882420585356043,-0.013757446000239055,0.016669636871454528
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,2169967369449818142,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.36010270416051426,-0.39705295802369445,1.0800038787886512,1.3424573009825203,-0.7163052249947677,3.2354904089030025,0.9823545968220082,-1.1702745306101316,2.777219920307779,0.008881576849050304,0.0008145531231229123,0.01699774710922644,0.022086291536172142,0.0030055901217154513,0.04269781096281025
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,12661935984897253465,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3205746445144264,-0.18067599770036918,0.8075083823678452,-1.0104897815099108,-2.338487859963549,0.2952015871085644,-1.3310644260243376,-2.8930826872306974,0.16529760642438976,-0.0007901759264477282,-0.005998578375661247,0.004541146698759437,0.0008882420585356043,-0.013561245827687172,0.01615380900509136
market-probability-sensitivities-v1,balanced_variant_common,power_primary_hierarchy_mean,11523977249658118886,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.36010270416051426,-0.4429001086902361,1.141753355102678,1.3424573009825203,-0.7332116470829222,3.1700459392054374,0.9823545968220082,-1.0617270935080378,2.804534152882871,0.008881576849050304,0.0007449484577449997,0.01679842229738161,0.022086291536172142,0.002100698894248065,0.041340625898008805
market-probability-sensitivities-v1,balanced_all_variants_common,power_primary_hierarchy_mean,9231162669084253341,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3145168218055048,-0.17251551376439353,0.8101211407504156,-1.0030195372537953,-2.343727306376262,0.27104416207138954,-1.3175363590592952,-2.8789266426336666,0.1636585837535962,-0.0007852618183689375,-0.00609215141396151,0.004999328116774621,0.000874429745918337,-0.014102107988730789,0.016547414095175374
market-probability-sensitivities-v1,balanced_all_variants_common,power_primary_hierarchy_mean,3747422665957972333,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.36010270416051426,-0.45148204566385,1.093837738956587,1.3424573009825203,-0.7734090489769188,3.1908751740304497,0.9823545968220082,-1.1849716030989579,2.801180063508789,0.008881576849050304,0.0010861369310356105,0.016898710307977752,0.022086291536172142,0.0031849628947971777,0.04197432196564275
