analysis_version,sample,variant_label,comparison_model,tour,slam,change_type,compared_matches,joint_non_tie_matches,variant_exact_ties,comparator_exact_ties,change_matches,actual_upset_semantics,match_level_detail_tracked
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Roland Garros,tie_removed,3036,3033,1,2,2,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Wimbledon,flip,2933,2930,3,0,452,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Wimbledon,tie_created,2933,2930,3,0,3,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Wimbledon,tie_removed,2933,2930,3,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,US Open,flip,2992,2986,5,1,358,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,US Open,tie_created,2992,2986,5,1,5,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,US Open,tie_removed,2992,2986,5,1,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Australian Open,flip,2382,2380,2,0,292,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Australian Open,tie_created,2382,2380,2,0,2,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Australian Open,tie_removed,2382,2380,2,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Roland Garros,flip,2368,2365,3,0,292,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Roland Garros,tie_created,2368,2365,3,0,3,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Roland Garros,tie_removed,2368,2365,3,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Wimbledon,flip,2242,2241,1,0,294,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Wimbledon,tie_created,2242,2241,1,0,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Wimbledon,tie_removed,2242,2241,1,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,US Open,flip,2375,2371,4,0,255,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,US Open,tie_created,2375,2371,4,0,4,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,US Open,tie_removed,2375,2371,4,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Australian Open,flip,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Australian Open,tie_created,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Australian Open,tie_removed,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Roland Garros,flip,3035,3034,1,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Roland Garros,tie_created,3035,3034,1,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Roland Garros,tie_removed,3035,3034,1,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Wimbledon,flip,2931,2928,3,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Wimbledon,tie_created,2931,2928,3,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,Wimbledon,tie_removed,2931,2928,3,3,0,model-relative underdog orientation,False
